id,prenom,date_naissance,console,date_inscription
1,Juliana,2004-11-02,DS,2024-06-18
2,Chauncey,2000-05-20,3DS,2023-04-07
3,Eliza,1959-01-29,DS,2024-02-27
4,Aubree,1972-05-13,DS,2022-09-23
5,Asha,2001-06-19,Switch,2023-10-23
6,Heloise,1995-05-01,3DS,2022-11-10
7,Kyler,1980-02-03,DS,2023-09-23
8,Neva,1965-12-28,Switch,2023-05-15
9,Jazmyn,1970-07-16,DS Lite,2024-09-02
10,Ubaldo,1988-01-14,DS Lite,2024-04-25
11,Kylee,1961-09-24,3DS,2023-01-21
12,Bo,1990-04-26,Switch,2024-07-18
13,Willard,2000-10-13,3DS,2023-04-26
14,Damien,1965-12-09,DS,2024-06-30
15,Rosie,1971-05-30,Switch,2024-06-10
16,Natalia,1991-08-05,Switch,2024-05-18
17,Ellis,1950-05-17,Switch,2023-05-04
18,Wilma,1985-12-29,DS,2022-12-25
19,Kaylin,1977-02-24,DS Lite,2023-03-11
20,Jolie,1965-09-29,DS,2024-03-03
21,Minerva,1956-07-01,3DS,2024-07-11
22,Telly,1944-06-30,Switch,2023-01-15
23,Karina,1971-05-05,Switch,2023-07-17
24,Melissa,1983-07-07,DS Lite,2023-05-08
25,Enrique,1987-10-11,DS,2022-11-27
26,Kameron,1949-11-19,DS,2022-10-15
27,Benedict,1983-02-20,DS,2022-10-07
28,Nicholas,1965-12-12,3DS,2023-03-12
29,Kennedi,1997-03-12,DS,2023-02-09
30,Alverta,1960-04-27,Switch,2022-10-19
31,Eugenia,1992-08-24,DS Lite,2023-02-06
32,Nya,1972-01-03,DS Lite,2024-05-18
33,Maxime,1961-09-27,3DS,2023-07-06
34,Tyrell,1976-03-24,3DS,2022-10-30
35,Chandler,1954-11-26,DS Lite,2024-01-13
36,Katherine,1947-10-23,Switch,2023-02-07
37,Vivianne,1984-05-12,DS Lite,2023-06-27
38,Heath,1987-06-11,DS,2023-09-16
39,Cameron,1988-12-27,DS,2023-10-28
40,Emmitt,1946-02-12,3DS,2023-05-29
41,Terrance,1988-10-21,DS,2023-06-24
42,Delbert,1945-07-06,DS,2022-11-08
43,Joelle,1986-01-26,Switch,2023-08-28
44,Deonte,2006-06-03,DS,2023-04-28
45,Marley,1959-10-07,DS,2023-10-14
46,Rogers,1978-05-13,3DS,2023-12-20
47,Edison,1991-01-04,DS Lite,2023-08-28
48,Guillermo,1957-04-09,DS,2024-05-13
49,Taya,1964-02-16,DS,2023-04-14
50,Adriana,1982-11-07,Switch,2024-07-02
